disease_field,metabolite_field,linear_beta,linear_pvalue,logistic_beta,logistic_pvalue,warning
p130708,p23403_i0,-0.6296326895624428,0.0,-0.6940866007712513,0.0,
p130718,p23403_i0,-0.6924690038629866,0.0,-0.7814245353032326,0.0,
p130770,p23403_i0,-0.1252898576681155,1.116306440588405e-162,-0.1269046891440973,1.5491356647704605e-159,
p130774,p23403_i0,0.1520295801696479,1.3413952841244557e-165,0.1860972706687251,2.8293198203372518e-167,simpleWarning: glm.fit: fitted probabilities numerically 0 or 1 occurred
p130820,p23403_i0,-0.1327325088125796,4.210197451633122e-202,-0.1347433255027428,1.254850966341221e-196,
p130826,p23403_i0,-0.0885420831460061,1.8023042739812592e-95,-0.0883696078361423,5.998451704159725e-92,
p130828,p23403_i0,-0.3217035175197889,0.0,-0.3270125714552011,0.0,
p130842,p23403_i0,-0.1112295359853906,4.582496173428304e-122,-0.0839226077982751,4.1813045844342825e-59,
p130846,p23403_i0,-0.1205320243475907,7.5354820989224e-131,-0.1240888668205728,1.909775549637487e-111,
p131022,p23403_i0,-0.3033322693016124,0.0,-0.2925984205537079,0.0,
p131036,p23403_i0,-0.6233344681738178,0.0,-1.1857879483668217,0.0,simpleWarning: glm.fit: fitted probabilities numerically 0 or 1 occurred
p131038,p23403_i0,-0.1386246093458856,1.252680413672946e-226,-0.1441209686910248,1.612383193314048e-226,
p131056,p23403_i0,-0.6065356877420152,0.0,-0.6524099219479446,0.0,
p131086,p23403_i0,-0.134221820603885,1.455445071173258e-212,-0.1328622306506129,2.1908418936838818e-201,
p131126,p23403_i0,-0.0288949316337181,2.1544239551210408e-11,-0.0295529924653162,2.479521260098768e-11,
p131164,p23403_i0,-0.146093091602541,1.1989436896031336e-180,-0.133095124656907,1.1895716889897919e-136,
p131166,p23403_i0,-0.0714397837845724,1.8645996085301045e-56,-0.0674390382187054,1.1834423191426426e-49,
p131180,p23403_i0,-0.3290912749321447,0.0,-0.3217215339624387,0.0,
p131182,p23403_i0,-0.1603749614949894,8.525670318773785e-298,-0.1609960517181495,1.6808150819850936e-290,
p131190,p23403_i0,-0.0459047057313778,8.232747354630496e-21,-0.0524675884440845,9.370210464737688e-26,
p131282,p23403_i0,-0.361196874951276,0.0,-0.3665522226496562,0.0,
p131304,p23403_i0,-0.8838401957990317,0.0,-1.070649060395355,0.0,
p131306,p23403_i0,-0.7874546695108297,0.0,-0.887724492450002,0.0,
p131310,p23403_i0,-0.3287124569076799,0.0,-0.3434875183018579,0.0,
p131322,p23403_i0,-0.2933777723607452,0.0,-0.3012565720254379,0.0,
p131324,p23403_i0,-0.3134312386226943,0.0,-0.3100810502259634,0.0,
p131342,p23403_i0,-0.3652372494456534,0.0,-0.3634055710591377,0.0,
p131344,p23403_i0,-0.2537847029101379,0.0,-0.2554202249287953,0.0,
p131346,p23403_i0,-0.5102979560508953,0.0,-0.56301460489755,0.0,
p131350,p23403_i0,-0.3578408270068877,0.0,-0.3450709961516423,0.0,
p131354,p23403_i0,-0.5472117640593577,0.0,-0.5596319637294316,0.0,
p131366,p23403_i0,-0.738521700459827,0.0,-0.8452620364795361,0.0,
p131370,p23403_i0,-0.8099595157469393,0.0,-0.9322947931689304,0.0,
p131374,p23403_i0,-0.3455525395139637,0.0,-0.3571429164492011,0.0,
p131378,p23403_i0,-0.5662844320482883,0.0,-0.6235498716566332,0.0,
p131380,p23403_i0,-0.5266957052008119,0.0,-0.5260702062799052,0.0,
p131382,p23403_i0,-0.5274148491070462,0.0,-0.5184288417121587,0.0,
p131390,p23403_i0,-0.4133076019439052,0.0,-0.4178501402219824,0.0,
p131416,p23403_i0,-0.2269874893602075,0.0,-0.2279137770768251,0.0,
p131444,p23403_i0,0.1264307559417738,3.4284677404511557e-128,0.1596810712081121,2.3718692969331045e-165,
p131490,p23403_i0,-0.3985890788695468,0.0,-0.4033020212318024,0.0,
p131518,p23403_i0,-0.3252457507067308,0.0,-0.3733673488148227,0.0,
p131528,p23403_i0,-0.1218927968369007,3.749082614927626e-159,-0.1175923070138899,1.1025741639388288e-138,
p131534,p23403_i0,-0.213735752670699,0.0,-0.2136345665892097,0.0,
p131538,p23403_i0,-0.4569011438892481,0.0,-0.3925804414294257,0.0,
p131546,p23403_i0,-0.2790710908081695,0.0,-0.275932614509336,0.0,
p131602,p23403_i0,0.0343371772920703,2.1779774971388094e-15,0.0349114991272254,9.74074656526584e-16,
p131632,p23403_i0,-0.2167364581013624,0.0,-0.2239596790371375,0.0,
p131636,p23403_i0,0.0698622792309763,2.910005695607855e-57,0.0726669220414877,9.139630271427892e-61,
p131648,p23403_i0,0.0263682088007149,1.9856727946997437e-09,0.029043364963144,5.1377204478832765e-11,
p131680,p23403_i0,-0.0324699108554951,2.8143180868677027e-14,-0.0347664962653478,8.78258440493865e-16,
p131684,p23403_i0,-0.1099236771538639,8.242508294896383e-146,-0.1124924732753644,7.903574955120912e-145,
p131768,p23403_i0,-0.0611440899081179,1.3452313440288786e-37,-0.0570048073301156,5.456237002730728e-32,
p131820,p23403_i0,-0.1406566236343094,5.5283461195020905e-176,-0.1273106162677505,5.776592864760243e-130,
p131834,p23403_i0,-0.4484483631158865,0.0,-0.4818896894432163,0.0,
p131868,p23403_i0,0.1072012845864626,2.4713018561706573e-109,0.1024261473040208,8.203707315679297e-95,
p131872,p23403_i0,0.0479447128205782,5.849179700169845e-28,0.0525438961292111,9.168670656391912e-33,
p131874,p23403_i0,0.1302279379978339,3.617981000072483e-142,0.1181355921731385,1.1333796134398634e-103,
p131900,p23403_i0,0.0887446756254425,6.794000177105733e-79,0.0696522562018161,2.6912331808511874e-47,
p131964,p23403_i0,-0.028559605297619,1.6837283483284718e-08,-0.0786717584670742,2.1445346290245423e-51,
p131972,p23403_i0,-0.0265928385572554,2.492839796339558e-07,-0.0473066335814054,3.4145166593552242e-19,
p132030,p23403_i0,-0.2580026664847309,0.0,-0.2589216135026545,0.0,
p132032,p23403_i0,-0.2394377852883208,0.0,-0.2348885743401659,0.0,
p130070,p23404_i0,-0.2218987242479886,0.0,-0.2278676901912273,0.0,
p130340,p23404_i0,-0.1480658047945164,1.3828013236107476e-155,-0.1417598097492343,2.564846574141338e-119,
p130708,p23404_i0,-1.0424810707699268,0.0,-1.4632238584433592,0.0,
p130718,p23404_i0,-0.768993300352481,0.0,-0.9318777721227496,0.0,
p130722,p23404_i0,-0.1957252997946987,0.0,-0.2162894918631872,0.0,
p130770,p23404_i0,-0.3172113571063551,0.0,-0.3297382360588263,0.0,
p130774,p23404_i0,-0.2349556912892803,0.0,-0.2611597353884255,0.0,
p130820,p23404_i0,-0.3834039896513007,0.0,-0.4112831248667503,0.0,
p130826,p23404_i0,-0.3954554930199129,0.0,-0.4287652853787634,0.0,
p130828,p23404_i0,-0.475837004450676,0.0,-0.5151948825184791,0.0,
p130846,p23404_i0,-0.3764363666049813,0.0,-0.4185920008968629,0.0,
p131022,p23404_i0,-0.227082042732412,0.0,-0.2177233388740475,0.0,
p131036,p23404_i0,-0.5084312463690436,0.0,-0.8720082391931196,0.0,simpleWarning: glm.fit: fitted probabilities numerically 0 or 1 occurred
p131038,p23404_i0,-0.2556450958009879,0.0,-0.2803467813801018,0.0,
p131056,p23404_i0,-0.7333310858852636,0.0,-0.8461341458592024,0.0,
p131086,p23404_i0,-0.3510792641054677,0.0,-0.3677630590467598,0.0,
p131126,p23404_i0,-0.2785464363625733,0.0,-0.2975213605723786,0.0,
p131164,p23404_i0,-0.2527850961718922,0.0,-0.2453393364040028,0.0,
p131166,p23404_i0,-0.1299567339105767,1.3499980120013393e-184,-0.1265328837932422,4.733720753476958e-168,
p131180,p23404_i0,-0.4600350658530265,0.0,-0.4874189868284677,0.0,
p131182,p23404_i0,-0.2108723534163577,0.0,-0.2135763554284052,0.0,
p131190,p23404_i0,-0.0587977162826959,3.327094190759674e-33,-0.0634932907645891,9.971924197714208e-37,
p131282,p23404_i0,-0.5841307266079021,0.0,-0.6535103857396334,0.0,
p131304,p23404_i0,-1.0676399237300302,0.0,-1.5469345990363503,0.0,
p131306,p23404_i0,-0.975975387443978,0.0,-1.286545461936463,0.0,
p131310,p23404_i0,-0.6001633335808534,0.0,-0.6782327554076457,0.0,
p131322,p23404_i0,-0.3386739715012603,0.0,-0.3550681394532441,0.0,
p131324,p23404_i0,-0.456838083366415,0.0,-0.4853957205204327,0.0,
p131342,p23404_i0,-0.5499228599587219,0.0,-0.6020641151545043,0.0,
p131344,p23404_i0,-0.3731222374182833,0.0,-0.3955717718509073,0.0,
p131346,p23404_i0,-0.6697944893260827,0.0,-0.8217696778807325,0.0,
p131350,p23404_i0,-0.4752519356737513,0.0,-0.4991121336337064,0.0,
p131354,p23404_i0,-0.8411536117122079,0.0,-1.0337572585423382,0.0,
p131366,p23404_i0,-0.8387223199206997,0.0,-1.059723379351431,0.0,
p131370,p23404_i0,-0.9689801119042336,0.0,-1.2595178780762903,0.0,
p131374,p23404_i0,-0.5489112668859257,0.0,-0.6161809846691411,0.0,
p131378,p23404_i0,-0.7626955561693283,0.0,-0.9401082154392834,0.0,
p131380,p23404_i0,-0.7648041758712109,0.0,-0.8907382133340038,0.0,
p131382,p23404_i0,-0.687229356073408,0.0,-0.7602312370685079,0.0,
p131390,p23404_i0,-0.6594372227542682,0.0,-0.7532313056249375,0.0,
p131416,p23404_i0,-0.3896163063725656,0.0,-0.4134676750017783,0.0,
p131444,p23404_i0,0.0709930674666434,6.333344952073473e-42,0.1083354274225717,1.0074056696937263e-73,
p131490,p23404_i0,-0.3929387542266965,0.0,-0.4036111282340779,0.0,
p131518,p23404_i0,-0.5585089774960539,0.0,-0.7301734666882768,0.0,
p131528,p23404_i0,-0.3431072052962106,0.0,-0.3575586434380871,0.0,
p131534,p23404_i0,-0.3864697390711786,0.0,-0.4077063126162653,0.0,
p131538,p23404_i0,-0.4249082050824249,0.0,-0.3491374278022864,0.0,
p131546,p23404_i0,-0.4779064141371205,0.0,-0.5069449206658017,0.0,
p131602,p23404_i0,-0.0982943676715849,1.150609178765983e-115,-0.0993358599281573,7.163387709829526e-114,
p131632,p23404_i0,-0.4431943465591851,0.0,-0.4743088054532009,0.0,
p131636,p23404_i0,-0.1008343310082883,8.624467875168283e-119,-0.0998836080291164,7.461001863787701e-112,
p131648,p23404_i0,-0.1271572645994662,7.211912699165448e-187,-0.1281998779255981,6.317266541991789e-181,
p131670,p23404_i0,-0.3934804052302443,0.0,-0.4151553665548169,0.0,
