LOC	CHR	START	STOP
ENSG00000068831	11	64494383	64512928
ENSG00000068976	11	64513861	64527769
ENSG00000168066	11	64532078	64546258
ENSG00000269038	11	64546426	64546877
ENSG00000269290	11	64552393	64553092
ENSG00000168067	11	64556290	64570713
ENSG00000133895	11	64570982	64578766
ENSG00000171219	11	64590859	64612041
ENSG00000110047	11	64619114	64655768
ENSG00000267804	11	64658158	64658547
ENSG00000207648	11	64658609	64658718
ENSG00000229719	11	64658827	64660921
ENSG00000110046	11	64662007	64684722
ENSG00000068971	11	64685025	64701945
ENSG00000149735	11	64701943	64703360
ENSG00000168070	11	64704989	64739557
ENSG00000168062	11	64755415	64764517
ENSG00000213465	11	64781585	64789656
ENSG00000273003	11	64781654	64808042
ENSG00000110025	11	64794880	64808044
ENSG00000168061	11	64808373	64812300
ENSG00000168060	11	64812290	64826021
ENSG00000146670	11	64833772	64851636
ENSG00000162300	11	64851695	64855870
ENSG00000187066	11	64852451	64856847
ENSG00000149823	11	64856796	64879332
ENSG00000254501	11	64878186	64879167
ENSG00000149809	11	64879317	64883856
ENSG00000174276	11	64883875	64885170
ENSG00000255173	11	64884629	64884930
ENSG00000149806	11	64888100	64889945
ENSG00000162298	11	64889252	64902004
ENSG00000149792	11	64889655	64894843
ENSG00000204710	11	64937625	64940715
ENSG00000254614	11	64945077	64949305
ENSG00000014216	11	64948037	64979477
ENSG00000014138	11	65029233	65073060
ENSG00000149798	11	65082289	65089900
ENSG00000133884	11	65101225	65120720
ENSG00000173825	11	65122238	65125084
ENSG00000255478	11	65134909	65142770
ENSG00000162241	11	65142663	65151172
ENSG00000126391	11	65154070	65180996
ENSG00000245532	11	65190245	65213011
ENSG00000173727	11	65222728	65234028
ENSG00000251562	11	65265233	65273940
ENSG00000270117	11	65265481	65265876
ENSG00000142186	11	65292548	65306175
ENSG00000168056	11	65306276	65326401
ENSG00000260233	11	65337131	65337744
ENSG00000173465	11	65337901	65341413
ENSG00000176973	11	65339820	65341669
ENSG00000173442	11	65343509	65360121
ENSG00000269018	11	65358665	65359947
ENSG00000173338	11	65360326	65363467
ENSG00000173327	11	65365226	65382853
ENSG00000197136	11	65383244	65404910
ENSG00000266041	11	65403781	65403840
ENSG00000213445	11	65405568	65418401
ENSG00000265874	11	65416663	65416724
ENSG00000173039	11	65421067	65430565
ENSG00000172977	11	65479467	65487075
ENSG00000172922	11	65482367	65488418
ENSG00000255557	11	65513200	65539056
ENSG00000254470	11	65543364	65548273
ENSG00000172818	11	65554493	65564690
ENSG00000255120	11	65556522	65558339
ENSG00000255404	11	65563417	65564690
ENSG00000172757	11	65590493	65629497
ENSG00000172803	11	65601112	65624367
ENSG00000172732	11	65624597	65635124
ENSG00000172638	11	65633912	65641063
ENSG00000172543	11	65647280	65651212
ENSG00000172500	11	65651212	65656010
ENSG00000175602	11	65657875	65659105
ENSG00000175592	11	65659520	65668044
ENSG00000175573	11	65684279	65686588
ENSG00000175550	11	65686728	65689032
ENSG00000175467	11	65729160	65747299
ENSG00000175376	11	65764016	65769647
ENSG00000175334	11	65769550	65771620
ENSG00000175315	11	65779312	65780976
ENSG00000175294	11	65784223	65793988
ENSG00000175229	11	65809423	65816651
ENSG00000087365	11	65818200	65836779
ENSG00000255038	11	65834748	65837090
ENSG00000228740	15	27402762	27406466
ENSG00000258970	15	27663942	27665881
ENSG00000259168	15	27728181	27787137
ENSG00000258594	15	27866680	27874435
ENSG00000258853	15	27929644	27930914
ENSG00000104044	15	28000021	28344504
ENSG00000232394	15	28020767	28021944
ENSG00000128731	15	28356186	28567298
ENSG00000153684	15	28623767	28637170
ENSG00000221050	15	28633515	28633597
ENSG00000266039	15	28671637	28671730
ENSG00000263964	15	28735898	28735991
ENSG00000183629	15	28764757	28778160
ENSG00000238607	15	28768331	28768413
ENSG00000188626	15	28947100	28983530
ENSG00000238340	15	28947708	28947790
ENSG00000261480	15	28964523	28983577
ENSG00000259277	15	29262399	29269667
ENSG00000264941	9	20502263	20502340
ENSG00000252324	9	20576216	20576300
ENSG00000188352	9	20658308	20995954
ENSG00000227071	9	20683303	20684687
ENSG00000207609	9	20716104	20716187
ENSG00000188921	9	20995306	21031635
ENSG00000171855	9	21077104	21077943
ENSG00000177047	9	21140631	21142144
ENSG00000137080	9	21165636	21166659
ENSG00000236637	9	21186617	21187598
ENSG00000214042	9	21201468	21202204
ENSG00000186803	9	21206180	21207142
ENSG00000147885	9	21216372	21217310
ENSG00000234829	9	21227242	21228221
ENSG00000228083	9	21239201	21239978
ENSG00000147873	9	21304613	21305312
ENSG00000198642	9	21329670	21335379
ENSG00000120235	9	21349834	21351377
ENSG00000233816	9	21367371	21368075
ENSG00000188379	9	21384254	21385396
ENSG00000261696	9	21394887	21396345
ENSG00000120242	9	21409146	21410184
ENSG00000197919	9	21440440	21441315
ENSG00000184995	9	21480841	21482312
ENSG00000199177	9	21512114	21512184
ENSG00000099810	9	21802542	21931646
ENSG00000264545	9	21802635	22032985
ENSG00000266732	9	21808057	21808123
ENSG00000265194	9	21858909	21861925
ENSG00000224854	9	21967137	21967738
ENSG00000147889	9	21967751	21995300
ENSG00000240498	9	21994777	22121096
ENSG00000147883	9	22002902	22009362
ENSG00000139437	12	110338069	110421646
ENSG00000139436	12	110367607	110434194
ENSG00000076513	12	110436991	110477568
ENSG00000174456	12	110465872	110511491
ENSG00000122970	12	110562140	110656602
ENSG00000174437	12	110718561	110788898
ENSG00000196510	12	110810705	110841535
ENSG00000111229	12	110872630	110888227
ENSG00000111231	12	110890289	110907073
ENSG00000204856	12	110906169	110928190
ENSG00000111237	12	110928902	110939922
ENSG00000151164	12	110939460	110969891
ENSG00000196850	12	110969120	111021125
ENSG00000204852	12	111051832	111087235
ENSG00000122986	12	111065646	111142755
ENSG00000221246	12	111070409	111070498
ENSG00000186298	12	111157485	111180744
ENSG00000257268	12	111269583	111283767
ENSG00000173093	12	111284573	111345339
ENSG00000111245	12	111348623	111358526
ENSG00000185847	12	111374389	111396012
ENSG00000258240	12	111389487	111395616
ENSG00000111249	12	111471828	111788358
ENSG00000221259	12	111511772	111511893
ENSG00000221386	12	111740604	111740703
ENSG00000198324	12	111798455	111806925
ENSG00000257595	12	111807086	111841114
ENSG00000111252	12	111843752	111889427
ENSG00000204842	12	111890018	112037480
ENSG00000266269	12	111925282	111925382
ENSG00000258099	12	112037302	112038060
ENSG00000089234	12	112079950	112123790
ENSG00000111271	12	112123857	112194903
ENSG00000257767	12	112191694	112229222
ENSG00000111275	12	112204691	112247782
ENSG00000257877	12	112250597	112251224
ENSG00000234608	12	112277571	112280706
ENSG00000089022	12	112279782	112334343
ENSG00000270018	12	112335140	112335710
ENSG00000198270	12	112369086	112450970
ENSG00000089248	12	112451120	112461255
ENSG00000111300	12	112464500	112546826
ENSG00000266370	12	112475403	112475519
ENSG00000258323	12	112501713	112503559
ENSG00000135148	12	112563305	112591407
ENSG00000173064	12	112597992	112819896
ENSG00000257494	12	112694604	112696895
ENSG00000089009	12	112842994	112856642
ENSG00000179295	12	112856155	112947717
ENSG00000221560	12	113132839	113132981
ENSG00000183638	8	10463859	10569697
ENSG00000263762	8	10524488	10524580
ENSG00000171060	8	10530147	10558103
ENSG00000171056	8	10581278	10697357
ENSG00000258724	8	10582909	10697357
ENSG00000248896	8	10586824	10628902
ENSG00000254093	8	10622473	10697394
ENSG00000253695	8	10698086	10704011
ENSG00000171044	8	10753555	11058875
ENSG00000207600	8	10892716	10892812
ENSG00000254839	8	10920157	10924599
ENSG00000215346	8	10983980	10987745
ENSG00000270076	8	11060474	11061180
ENSG00000236827	8	11105135	11125374
ENSG00000104643	8	11141925	11185646
ENSG00000246477	8	11173374	11182938
ENSG00000177710	8	11188397	11189717
ENSG00000255020	8	11203257	11205011
ENSG00000260902	3	14840838	14852921
ENSG00000154783	3	14860469	14975895
ENSG00000225733	3	14961854	14989931
ENSG00000177463	3	14989091	15095107
ENSG00000131368	3	15083967	15106842
ENSG00000131381	3	15111580	15140670
ENSG00000221424	3	15175890	15176037
ENSG00000131375	3	15247659	15294425
ENSG00000224660	3	15295691	15306000
ENSG00000131370	3	15296360	15382875
ENSG00000206562	3	15422782	15482073
ENSG00000144597	3	15468862	15484120
ENSG00000249786	3	15477678	15493109
ENSG00000206561	3	15491640	15563258
ENSG00000263573	3	15537746	15537815
ENSG00000131373	3	15602211	15643338
ENSG00000169814	3	15642848	15687329
ENSG00000206560	3	15708743	15901278
ENSG00000264354	3	15738805	15738878
ENSG00000207815	3	15915278	15915356
ENSG00000131386	3	16216156	16273499
ENSG00000112499	6	160592093	160698670
ENSG00000230234	6	160693649	160697162
ENSG00000146477	6	160769300	160876014
ENSG00000198670	6	160952515	161087407
ENSG00000224477	6	161119320	161121664
ENSG00000122194	6	161123270	161174347
ENSG00000224371	6	161293920	161339681
ENSG00000233342	6	161347401	161348194
ENSG00000231863	6	161352112	161390803
ENSG00000272841	6	161411350	161413374
ENSG00000085511	6	161412759	161538417
ENSG00000026652	6	161551011	161695093
ENSG00000221021	6	162036098	162036191
ENSG00000254468	11	121279	125784
ENSG00000230724	11	127115	139612
ENSG00000255229	11	129279	186136
ENSG00000177951	11	167784	207428
ENSG00000188076	11	193080	194573
ENSG00000177947	11	196738	200261
ENSG00000254559	11	203623	205470
ENSG00000177963	11	207511	215113
ENSG00000142082	11	215458	236931
ENSG00000185627	11	236546	252983
ENSG00000174885	11	278365	285359
ENSG00000255026	11	287305	288987
ENSG00000142102	11	289135	296107
ENSG00000206013	11	298200	299526
ENSG00000185201	11	307631	315272
ENSG00000254910	11	310139	311141
ENSG00000185885	11	313506	315272
ENSG00000251661	11	318640	325631
ENSG00000142089	11	319669	327537
ENSG00000255089	11	321991	322426
ENSG00000270105	11	322186	322727
ENSG00000270030	11	325703	326294
ENSG00000255328	11	327171	330122
ENSG00000270972	11	333192	333688
ENSG00000182272	11	369796	382116
ENSG00000184363	11	392614	404908
ENSG00000185187	11	405716	417455
ENSG00000185101	11	417933	442011
ENSG00000174915	11	448268	491393
ENSG00000255237	11	462930	463899
ENSG00000023191	11	494512	507300
ENSG00000254739	11	528907	529659
ENSG00000174775	11	532242	537287
ENSG00000161328	11	537527	554916
ENSG00000185522	11	554855	560779
ENSG00000254815	11	557595	560107
ENSG00000099849	11	560404	564021
ENSG00000247095	11	565660	568457
ENSG00000199038	11	568089	568198
ENSG00000070047	11	576486	612222
ENSG00000185507	11	612553	615999
ENSG00000099834	11	616565	626078
ENSG00000070031	11	626431	627143
ENSG00000069696	11	637293	640706
ENSG00000177030	11	644233	706715
ENSG00000255158	11	665910	678391
ENSG00000177106	11	694438	727727
ENSG00000177042	11	695428	705028
ENSG00000269915	11	708564	727047
ENSG00000177156	11	747329	765024
ENSG00000177225	11	767220	777488
ENSG00000255284	11	777578	784297
ENSG00000255142	11	781645	782105
ENSG00000184524	11	787104	790123
ENSG00000177542	11	790475	798316
ENSG00000177595	11	799179	809753
ENSG00000177600	11	809647	812880
ENSG00000177666	11	818902	825573
ENSG00000255108	11	823634	832883
ENSG00000177685	11	826144	831991
ENSG00000177697	11	832843	839831
ENSG00000177700	11	837356	842545
ENSG00000214063	11	842808	867116
ENSG00000250397	11	856880	859795
ENSG00000177830	11	867357	915058
ENSG00000183020	11	924894	1012239
ENSG00000264671	11	951295	951364
ENSG00000184956	11	1012821	1036706
ENSG00000254872	11	1049880	1055284
ENSG00000198788	11	1074875	1104419
ENSG00000215374	8	7159133	7212876
ENSG00000215372	8	7213039	7243080
ENSG00000177257	8	7272382	7274385
ENSG00000177243	8	7286410	7287870
ENSG00000164871	8	7300206	7321196
ENSG00000216194	8	7315478	7315572
ENSG00000177023	8	7327830	7332604
ENSG00000187082	8	7340026	7343922
ENSG00000186599	8	7345191	7347115
ENSG00000198129	8	7353368	7366833
ENSG00000255251	8	7397150	7399972
ENSG00000255378	8	7636113	7638935
ENSG00000186572	8	7669242	7673238
ENSG00000186562	8	7679488	7681411
ENSG00000186579	8	7682694	7686575
ENSG00000176782	8	7693993	7698764
ENSG00000178287	8	7705398	7726389
ENSG00000215977	8	7711019	7711113
ENSG00000176797	8	7738726	7740186
ENSG00000171711	8	7752151	7754233
ENSG00000215356	8	7783859	7812271
ENSG00000225725	8	7812536	7866277
ENSG00000221305	8	7946463	7946611
ENSG00000221027	8	7996350	7996453
ENSG00000253893	8	8025341	8084136
ENSG00000268955	8	8046158	8046331
ENSG00000182319	8	8175258	8244008
ENSG00000253505	8	8272200	8282142
ENSG00000254153	8	8314419	8318847
ENSG00000253343	8	8413248	8418475
ENSG00000253774	8	8417404	8419634
ENSG00000253130	8	8418901	8427198
ENSG00000264445	8	8490974	8491058
ENSG00000253958	8	8559448	8561616
ENSG00000254367	8	8581203	8639989
ENSG00000147324	8	8640864	8751155
ENSG00000104626	8	8859657	8974256
ENSG00000263407	8	8905955	8906028
ENSG00000173281	8	8993765	9009084
ENSG00000254340	8	8998934	9002945
ENSG00000253426	8	9009252	9025646
ENSG00000253252	8	9037761	9040029
ENSG00000248538	8	9046521	9060364
ENSG00000253887	8	9112859	9117805
ENSG00000171067	11	68028803	68039469
ENSG00000162337	11	68080077	68216743
ENSG00000110075	11	68228186	68382802
ENSG00000222339	11	68273040	68273119
ENSG00000212093	11	68273551	68273634
ENSG00000260808	11	68380367	68384179
ENSG00000266854	11	68386967	68387063
ENSG00000069482	11	68451247	68458643
ENSG00000132749	11	68474908	68519032
ENSG00000110090	11	68522088	68611878
ENSG00000250508	11	68638132	68642010
ENSG00000197345	11	68658744	68671303
ENSG00000132740	11	68671310	68708070
ENSG00000255741	11	68708971	68710320
ENSG00000172938	11	68747490	68748455
ENSG00000261276	11	68771862	68772568
ENSG00000172935	11	68771863	68780877
ENSG00000256508	11	68779751	68785915
ENSG00000162341	11	68816365	68858072
ENSG00000265539	11	68850644	68850726
ENSG00000260895	11	68870961	68876562
ENSG00000261070	11	68914696	68939032
ENSG00000259799	11	68923378	68927220
ENSG00000172927	11	69061605	69182494
ENSG00000260877	11	69186231	69187279
ENSG00000259854	11	69229075	69231600
ENSG00000255980	11	69240458	69244389
ENSG00000255606	11	69253133	69259511
ENSG00000261347	11	69282366	69284473
ENSG00000255774	11	69291901	69294708
ENSG00000110092	11	69455855	69469242
ENSG00000149716	11	69467844	69490184
ENSG00000228108	2	54743185	54767834
ENSG00000234943	2	54772505	54773814
ENSG00000238018	2	54888148	54889929
ENSG00000214595	2	54950636	55199157
ENSG00000231334	2	54974240	54975541
ENSG00000115310	2	55199325	55339757
ENSG00000266376	2	55335846	55335939
ENSG00000162994	2	55401927	55459699
ENSG00000203327	2	55441523	55443262
ENSG00000143947	2	55459039	55462989
ENSG00000085760	2	55463731	55496483
ENSG00000115355	2	55514978	55647057
ENSG00000240401	2	55535628	55573185
ENSG00000264849	2	55699880	55699977
ENSG00000163001	2	55746740	55773015
ENSG00000138041	2	55774428	55846015
ENSG00000272606	2	55845044	55845508
ENSG00000138035	2	55861400	55921045
ENSG00000115380	2	56093102	56151274
ENSG00000093217	3	38388251	38462839
ENSG00000229589	3	38492518	38496311
ENSG00000114739	3	38495342	38534633
ENSG00000157036	3	38537618	38583652
ENSG00000183873	3	38589548	38691164
ENSG00000185313	3	38738293	38835501
ENSG00000222719	3	38841787	38841885
ENSG00000231243	3	38865393	38866793
ENSG00000168356	3	38887260	38992052
ENSG00000215941	3	38948805	38948880
ENSG00000114742	3	39093489	39138155
ENSG00000114745	3	39138150	39149854
ENSG00000168026	3	39149152	39180394
ENSG00000144655	3	39183346	39196053
ENSG00000168334	3	39224701	39234087
ENSG00000168329	3	39304985	39323226
ENSG00000179934	3	39371197	39375171
ENSG00000144659	3	39424839	39438842
ENSG00000168028	3	39448180	39454033
ENSG00000264724	3	39458971	39459056
ENSG00000168314	3	39508689	39570970
ENSG00000164508	6	25726291	25726790
ENSG00000146047	6	25727137	25727573
ENSG00000146039	6	25754927	25781419
ENSG00000124568	6	25783125	25832287
ENSG00000124564	6	25833294	25882514
ENSG00000112337	6	25912982	25930946
ENSG00000112343	6	25963030	25987384
ENSG00000272558	6	25984040	25999395
ENSG00000272065	6	25990989	25991454
ENSG00000272462	6	25992890	26002003
ENSG00000272810	6	26013469	26013985
ENSG00000124610	6	26017260	26018040
ENSG00000198366	6	26020718	26021186
ENSG00000196176	6	26021907	26022278
ENSG00000124529	6	26027124	26027480
ENSG00000124693	6	26031817	26032288
ENSG00000137259	6	26033320	26033796
ENSG00000196226	6	26043455	26043885
ENSG00000196532	6	26045639	26046097
ENSG00000187837	6	26055968	26056699
ENSG00000010704	6	26087509	26098571
ENSG00000197061	6	26104104	26104518
ENSG00000187475	6	26107640	26108364
ENSG00000180596	6	26115101	26124154
ENSG00000180573	6	26124373	26139344
ENSG00000168298	6	26156559	26157343
ENSG00000158373	6	26158349	26171577
ENSG00000197697	6	26183958	26184454
ENSG00000188987	6	26188938	26189304
ENSG00000197409	6	26197068	26199521
ENSG00000196866	6	26199079	26199471
ENSG00000197846	6	26199748	26200942
ENSG00000198518	6	26204858	26206266
ENSG00000187990	6	26216428	26216872
ENSG00000168274	6	26217165	26217711
ENSG00000196966	6	26225383	26225844
ENSG00000124575	6	26234440	26235216
ENSG00000198327	6	26240561	26240976
ENSG00000124578	6	26246886	26247259
ENSG00000256316	6	26250370	26250835
ENSG00000197459	6	26251879	26252303
ENSG00000256018	6	26271146	26271612
ENSG00000168242	6	26273144	26273622
ENSG00000158406	6	26281283	26285762
ENSG00000186470	6	26365387	26378546
ENSG00000215979	6	26365704	26365780
ENSG00000124508	6	26383324	26395102
ENSG00000026950	6	26402465	26415444
ENSG00000111801	6	26440700	26453643
ENSG00000112763	6	26458150	26476849
ENSG00000124557	6	26501449	26510650
ENSG00000228223	6	26522076	26526807
ENSG00000261353	6	26527291	26527632
ENSG00000182952	6	26538633	26546482
ENSG00000146109	6	26597180	26600278
ENSG00000181315	6	26636518	26659980
ENSG00000261584	6	26686469	26688192
