CHR	START	STOP	LOC
2	44313803	46482634	block160
2	46482634	47318772	block161
2	47318772	48213001	block162
2	48213001	50022257	block163
2	50022257	50818928	block164
2	50818928	52491133	block165
2	52491133	53508452	block166
2	53508452	54685226	block167
2	54685226	56203345	block168
2	56203345	57429100	block169
2	57429100	58297315	block170
2	58297315	60292000	block171
2	60292000	62429044	block172
2	62429044	64625913	block173
2	64625913	65933444	block174
2	65933444	67226166	block175
2	67226166	68010176	block176
2	68010176	69139564	block177
2	69139564	70755198	block178
2	70755198	73174848	block179
2	73174848	75630086	block180
2	75630086	76913661	block181
2	76913661	78079264	block182
2	78079264	80050403	block183
2	80050403	81620841	block184
2	81620841	85140680	block185
2	85140680	88038507	block186
2	88038507	89154526	block187
2	89154526	95326452	block188
2	95326452	98995201	block189
2	98995201	101822329	block190
2	101822329	102688765	block191
2	102688765	103588215	block192
2	103588215	105125034	block193
2	105125034	106210058	block194
2	106210058	107408267	block195
2	107408267	108429177	block196
2	108429177	110572432	block197
2	110572432	113921856	block198
2	113921856	116772470	block199
2	116772470	118367466	block200
2	118367466	121303783	block201
2	121303783	123302906	block202
2	123302906	124732250	block203
2	124732250	125840921	block204
2	125840921	127373764	block205
2	127373764	128034347	block206
2	128034347	129474441	block207
2	129474441	130067170	block208
2	130067170	130658085	block209
2	130658085	133042784	block210
2	133042784	135158578	block211
2	135158578	137042794	block212
2	137042794	138698117	block213
2	138698117	140100271	block214
2	140100271	141805351	block215
2	141805351	142518602	block216
2	142518602	144519484	block217
2	144519484	146445570	block218
2	146445570	147277162	block219
2	147277162	150210292	block220
2	150210292	151731462	block221
2	151731462	152486782	block222
2	152486782	154005056	block223
2	154005056	155391135	block224
2	155391135	157560635	block225
2	157560635	158533218	block226
2	158533218	159577082	block227
2	159577082	161769733	block228
2	161769733	163503551	block229
2	163503551	164466638	block230
2	164466638	165178840	block231
2	165178840	167160270	block232
2	167160270	167355970	block233
2	167355970	169968236	block234
2	169968236	171226245	block235
2	171226245	173138905	block236
2	173138905	175588929	block237
2	175588929	177363636	block238
2	177363636	178553183	block239
2	178553183	181312739	block240
2	181312739	182266031	block241
2	182266031	184357608	block242
2	184357608	185280173	block243
2	185280173	189882065	block244
2	189882065	191973357	block245
2	191973357	195861164	block246
2	195861164	196447456	block247
2	196447456	198078110	block248
2	198078110	199311125	block249
2	199311125	201576284	block250
2	201576284	202818637	block251
2	202818637	205799241	block252
2	205799241	206735704	block253
2	206735704	208645399	block254
2	208645399	209941529	block255
2	209941529	212379518	block256
2	212379518	214014282	block257
2	214014282	215573795	block258
2	215573795	217715661	block259
2	217715661	218395480	block260
2	218395480	220454551	block261
2	220454551	222521176	block262
2	222521176	224859419	block263
2	224859419	225840004	block264
2	225840004	228119842	block265
2	228119842	229370787	block266
2	229370787	231843389	block267
2	231843389	233550003	block268
2	233550003	235150987	block269
2	235150987	236043550	block270
2	236043550	237449032	block271
2	237449032	238760981	block272
2	238760981	239952643	block273
2	239952643	241560084	block274
2	241560084	242149921	block275
2	242149921	243188920	block276
3	60157	1441779	block277
3	1441779	2992120	block278
3	2992120	4431647	block279
3	4431647	6083183	block280
3	6083183	7083387	block281
3	7083387	8648561	block282
3	8648561	9543183	block283
3	9543183	11019665	block284
3	11019665	13070799	block285
3	13070799	14816900	block286
3	14816900	16282442	block287
3	16282442	17891118	block288
3	17891118	19125144	block289
3	19125144	20091348	block290
3	20091348	21643707	block291
3	21643707	22204244	block292
3	22204244	23804865	block293
3	23804865	25461558	block294
3	25461558	26877769	block295
3	26877769	27840910	block296
3	27840910	29142260	block297
3	29142260	30717955	block298
3	30717955	32351715	block299
3	32351715	33255592	block300
3	33255592	35283458	block301
3	35283458	36486842	block302
3	36486842	38356116	block303
3	38356116	40221298	block304
3	40221298	41064528	block305
3	41064528	42540002	block306
3	42540002	45165153	block307
3	45165153	46657500	block308
3	46657500	47727212	block309
3	47727212	49316972	block310
3	49316972	51832015	block311
3	51832015	54081390	block312
3	54081390	55348860	block313
3	55348860	56433907	block314
3	56433907	58157519	block315
3	58157519	60272906	block316
3	60272906	62355666	block317
3	62355666	63669286	block318
3	63669286	65273538	block319
3	65273538	66270447	block320
3	66270447	68286914	block321
3	68286914	69276762	block322
3	69276762	70449028	block323
3	70449028	72529329	block324
3	72529329	74321817	block325
3	74321817	75704949	block326
3	75704949	77508835	block327
3	77508835	79024541	block328
3	79024541	81427310	block329
3	81427310	82643886	block330
3	82643886	84367479	block331
3	84367479	85582231	block332
3	85582231	87409732	block333
3	87409732	88298373	block334
3	88298373	94255316	block335
3	94255316	95311971	block336
3	95311971	98215950	block337
3	98215950	99373762	block338
3	99373762	100592217	block339
3	100592217	103084960	block340
3	103084960	104581613	block341
3	104581613	106982811	block342
3	106982811	109522395	block343
3	109522395	110513770	block344
3	110513770	112815699	block345
3	112815699	113947863	block346
3	113947863	115447080	block347
3	115447080	116800153	block348
3	116800153	118530251	block349
3	118530251	120523055	block350
3	120523055	121974097	block351
3	121974097	123517768	block352
3	123517768	124936642	block353
3	124936642	126214943	block354
3	126214943	128194861	block355
3	128194861	130244735	block356
3	130244735	131836516	block357
3	131836516	133252173	block358
3	133252173	135456906	block359
3	135456906	137371083	block360
3	137371083	139954597	block361
3	139954597	141339097	block362
3	141339097	143164628	block363
3	143164628	144410816	block364
3	144410816	145664619	block365
3	145664619	146726629	block366
3	146726629	149043237	block367
3	149043237	150252004	block368
3	150252004	151348730	block369
3	151348730	153256571	block370
3	153256571	154714218	block371
3	154714218	156008700	block372
3	156008700	157312028	block373
3	157312028	159477890	block374
3	159477890	161524504	block375
3	161524504	163253205	block376
3	163253205	165055469	block377
3	165055469	167117429	block378
3	167117429	168580960	block379
3	168580960	170964909	block380
3	170964909	172295731	block381
3	172295731	173477285	block382
3	173477285	175116539	block383
3	175116539	176320287	block384
3	176320287	178107165	block385
3	178107165	179374586	block386
3	179374586	181511166	block387
3	181511166	183769683	block388
3	183769683	185068255	block389
3	185068255	186890344	block390
3	186890344	188856214	block391
3	188856214	190226607	block392
3	190226607	192343814	block393
3	192343814	194059671	block394
3	194059671	194786674	block395
3	194786674	195971408	block396
3	195971408	197075987	block397
3	197075987	197946622	block398
4	10240	694715	block399
4	694715	1478711	block400
4	1478711	2842979	block401
4	2842979	3846040	block402
4	3846040	4684116	block403
4	4684116	5502388	block404
4	5502388	6773043	block405
4	6773043	7539692	block406
4	7539692	8152235	block407
4	8152235	9326479	block408
4	9326479	10699152	block409
4	10699152	12323034	block410
4	12323034	14272001	block411
4	14272001	15147446	block412
4	15147446	15927009	block413
4	15927009	17383322	block414
4	17383322	18841874	block415
4	18841874	20544557	block416
4	20544557	22319347	block417
4	22319347	24135529	block418
4	24135529	25609322	block419
4	25609322	27343722	block420
4	27343722	27965868	block421
4	27965868	29762208	block422
4	29762208	30454535	block423
4	30454535	31782981	block424
4	31782981	33172766	block425
4	33172766	35151415	block426
4	35151415	36020436	block427
4	36020436	37255047	block428
4	37255047	38907022	block429
4	38907022	40202609	block430
4	40202609	42213058	block431
4	42213058	43965045	block432
4	43965045	45189157	block433
4	45189157	47411896	block434
4	47411896	48123600	block435
4	48123600	53877433	block436
4	53877433	55429556	block437
4	55429556	56547644	block438
4	56547644	58935008	block439
4	58935008	60741087	block440
4	60741087	62371763	block441
4	62371763	64341001	block442
4	64341001	66600492	block443
4	66600492	68059497	block444
4	68059497	68854765	block445
4	68854765	71049152	block446
4	71049152	72140558	block447
4	72140558	74592390	block448
4	74592390	77130707	block449
4	77130707	79093979	block450
4	79093979	80990297	block451
4	80990297	82125315	block452
4	82125315	83372593	block453
4	83372593	84799656	block454
4	84799656	86930609	block455
4	86930609	87534648	block456
4	87534648	89238028	block457
4	89238028	90231564	block458
4	90231564	91560677	block459
4	91560677	94233299	block460
4	94233299	96182188	block461
4	96182188	97540703	block462
4	97540703	99424067	block463
4	99424067	100678360	block464
4	100678360	103221356	block465
4	103221356	105305294	block466
4	105305294	107501305	block467
4	107501305	108815348	block468
4	108815348	111256567	block469
4	111256567	113870102	block470
4	113870102	115666246	block471
4	115666246	117276929	block472
4	117276929	118479918	block473
4	118479918	119933512	block474
4	119933512	120392684	block475
4	120392684	122657987	block476
4	122657987	124286481	block477
4	124286481	125210862	block478
4	125210862	126480886	block479
4	126480886	127275477	block480
4	127275477	127830293	block481
4	127830293	128996665	block482
4	128996665	130591885	block483
4	130591885	131283821	block484
4	131283821	132954033	block485
4	132954033	134628434	block486
4	134628434	136566407	block487
4	136566407	138541971	block488
4	138541971	139556511	block489
4	139556511	141084631	block490
4	141084631	143443265	block491
4	143443265	146178187	block492
4	146178187	148521873	block493
4	148521873	150683580	block494
4	150683580	152782184	block495
4	152782184	154477641	block496
4	154477641	155056126	block497
4	155056126	157485097	block498
4	157485097	158743718	block499
4	158743718	161058864	block500
4	161058864	161826435	block501
4	161826435	163243679	block502
4	163243679	164478234	block503
4	164478234	165823448	block504
4	165823448	167018858	block505
4	167018858	167852917	block506
4	167852917	169676825	block507
4	169676825	170776510	block508
4	170776510	172558635	block509
4	172558635	174264132	block510
4	174264132	176570716	block511
4	176570716	178991910	block512
4	178991910	180122043	block513
4	180122043	182066807	block514
4	182066807	183371275	block515
4	183371275	184929455	block516
4	184929455	186909090	block517
4	186909090	188472981	block518
4	188472981	189693511	block519
4	189693511	191043594	block520
5	11940	982252	block521
5	982252	2132442	block522
5	2132442	3361941	block523
5	3361941	4632110	block524
5	4632110	5973233	block525
5	5973233	7143218	block526
5	7143218	8446336	block527
5	8446336	9718832	block528
5	9718832	11173271	block529
5	11173271	13464832	block530
5	13464832	14757804	block531
5	14757804	16963613	block532
5	16963613	18051592	block533
5	18051592	19917716	block534
5	19917716	22152073	block535
5	22152073	23494324	block536
5	23494324	26184851	block537
5	26184851	26857604	block538
5	26857604	27984513	block539
5	27984513	29714820	block540
5	29714820	31390249	block541
5	31390249	33500180	block542
5	33500180	35048970	block543
5	35048970	36433954	block544
5	36433954	38802410	block545
5	38802410	40287729	block546
5	40287729	41888710	block547
5	41888710	43983499	block548
5	43983499	50163398	block549
5	50163398	52134622	block550
5	52134622	53703044	block551
5	53703044	55417349	block552
5	55417349	56621102	block553
5	56621102	57340073	block554
5	57340073	58524622	block555
5	58524622	60935907	block556
5	60935907	61672995	block557
5	61672995	63218987	block558
5	63218987	63968304	block559
5	63968304	65911286	block560
5	65911286	67850860	block561
5	67850860	71240456	block562
5	71240456	73759326	block563
5	73759326	75798866	block564
5	75798866	77623332	block565
5	77623332	79393144	block566
5	79393144	80481471	block567
5	80481471	82025648	block568
5	82025648	83972689	block569
5	83972689	85767290	block570
5	85767290	87389991	block571
5	87389991	88891530	block572
5	88891530	90422654	block573
5	90422654	91840542	block574
5	91840542	93809984	block575
5	93809984	95963519	block576
5	95963519	97315601	block577
5	97315601	99260992	block578
5	99260992	101578769	block579
5	101578769	103320005	block580
5	103320005	104851483	block581
5	104851483	105893055	block582
5	105893055	107264196	block583
5	107264196	108633934	block584
5	108633934	110821144	block585
5	110821144	111981562	block586
5	111981562	113396285	block587
5	113396285	114830370	block588
5	114830370	115831047	block589
5	115831047	117346213	block590
5	117346213	118608820	block591
5	118608820	119669042	block592
5	119669042	120452166	block593
5	120452166	122556905	block594
5	122556905	123798100	block595
5	123798100	125785649	block596
5	125785649	127344604	block597
5	127344604	129519025	block598
5	129519025	132139649	block599
5	132139649	134777401	block600
5	134777401	136376050	block601
5	136376050	139265072	block602
5	139265072	140645971	block603
5	140645971	142981248	block604
5	142981248	144943354	block605
5	144943354	147181998	block606
5	147181998	148662624	block607
5	148662624	150561298	block608
5	150561298	152867774	block609
5	152867774	153773088	block610
5	153773088	155373505	block611
5	155373505	156628700	block612
5	156628700	158825698	block613
5	158825698	159973944	block614
5	159973944	161482133	block615
5	161482133	162743908	block616
5	162743908	163771582	block617
5	163771582	165642395	block618
5	165642395	166847740	block619
5	166847740	168525318	block620
5	168525318	169505664	block621
5	169505664	171074292	block622
5	171074292	172678327	block623
5	172678327	173642871	block624
5	173642871	175450595	block625
5	175450595	177251507	block626
5	177251507	178413464	block627
5	178413464	179401244	block628
5	179401244	180559933	block629
5	180559933	180885156	block630
6	73924	1452362	block631
6	1452362	2458936	block632
6	2458936	3573593	block633
6	3573593	4617817	block634
6	4617817	5791472	block635
6	5791472	6785207	block636
6	6785207	7808936	block637
6	7808936	9020026	block638
6	9020026	10540317	block639
6	10540317	11790816	block640
6	11790816	13209388	block641
6	13209388	14802924	block642
6	14802924	17386405	block643
6	17386405	19207487	block644
6	19207487	21684065	block645
6	21684065	22748307	block646
6	22748307	23936619	block647
6	23936619	24852275	block648
6	24852275	25684587	block649
6	25684587	26791233	block650
6	26791233	28017819	block651
6	28017819	28917608	block652
6	28917608	29737971	block653
6	29737971	30798168	block654
6	30798168	31571218	block655
6	31571218	32682664	block656
6	32682664	33236497	block657
6	33236497	35455756	block658
6	35455756	37572596	block659
6	37572596	39295677	block660
6	39295677	40345115	block661
6	40345115	42038721	block662
6	42038721	43756169	block663
6	43756169	45406563	block664
6	45406563	47311898	block665
6	47311898	48391125	block666
6	48391125	50386145	block667
6	50386145	52210476	block668
6	52210476	53279102	block669
6	53279102	55468270	block670
6	55468270	56105313	block671
6	56105313	57599465	block672
6	57599465	61880512	block673
6	61880512	63552888	block674
6	63552888	65765742	block675
6	65765742	67329215	block676
6	67329215	68849483	block677
6	68849483	69523448	block678
6	69523448	71609510	block679
6	71609510	73450097	block680
6	73450097	75462003	block681
6	75462003	77414881	block682
6	77414881	78957728	block683
6	78957728	80691170	block684
6	80691170	81929222	block685
6	81929222	83127149	block686
6	83127149	85209989	block687
6	85209989	87069500	block688
6	87069500	88822140	block689
6	88822140	89973052	block690
6	89973052	91843196	block691
6	91843196	93428644	block692
6	93428644	94118142	block693
6	94118142	94441175	block694
6	94441175	97093511	block695
6	97093511	97842284	block696
6	97842284	100630146	block697
6	100630146	102636772	block698
6	102636772	103983395	block699
6	103983395	106056733	block700
6	106056733	107450306	block701
6	107450306	108464380	block702
6	108464380	110304247	block703
6	110304247	112345014	block704
6	112345014	114220833	block705
6	114220833	116131396	block706
6	116131396	117672972	block707
6	117672972	118963115	block708
6	118963115	119963278	block709
6	119963278	120512128	block710
6	120512128	121905676	block711
6	121905676	123856181	block712
6	123856181	125424383	block713
6	125424383	127540461	block714
6	127540461	129861031	block715
6	129861031	130935454	block716
6	130935454	132765669	block717
6	132765669	134244243	block718
6	134244243	136224177	block719
6	136224177	137614218	block720
6	137614218	138822629	block721
6	138822629	139845436	block722
6	139845436	142288479	block723
6	142288479	145319810	block724
6	145319810	146665424	block725
6	146665424	148920352	block726
6	148920352	150253404	block727
6	150253404	151912703	block728
6	151912703	153094496	block729
6	153094496	154974120	block730
6	154974120	156763326	block731
6	156763326	158218719	block732
6	158218719	160580497	block733
6	160580497	162169564	block734
6	162169564	162931203	block735
6	162931203	164383521	block736
6	164383521	165586864	block737
6	165586864	167024733	block738
6	167024733	168042835	block739
6	168042835	169382050	block740
6	169382050	170330173	block741
6	170330173	171051270	block742
7	16161	972752	block743
7	972752	1353067	block744
7	1353067	2062398	block745
7	2062398	2772227	block746
7	2772227	4573428	block747
7	4573428	5416232	block748
7	5416232	5854526	block749
7	5854526	6573857	block750
7	6573857	7808752	block751
7	7808752	9123423	block752
7	9123423	9987499	block753
7	9987499	11299198	block754
7	11299198	12635461	block755
7	12635461	13884202	block756
7	13884202	15143657	block757
7	15143657	16902069	block758
7	16902069	19481547	block759
7	19481547	20124908	block760
7	20124908	22507629	block761
7	22507629	23471442	block762
7	23471442	25077259	block763
7	25077259	25909555	block764
7	25909555	28360309	block765
7	28360309	31137289	block766
7	31137289	33555768	block767
7	33555768	36213538	block768
7	36213538	37555184	block769
7	37555184	38966703	block770
7	38966703	39862670	block771
7	39862670	42001811	block772
7	42001811	43159074	block773
7	43159074	44763828	block774
7	44763828	45952922	block775
7	45952922	46986720	block776
7	46986720	49212278	block777
7	49212278	51675322	block778
7	51675322	53176312	block779
7	53176312	54222976	block780
7	54222976	55691584	block781
7	55691584	57382638	block782
7	57382638	63307359	block783
7	63307359	63641125	block784
7	63641125	65689809	block785
7	65689809	68234074	block786
7	68234074	69085364	block787
7	69085364	71874885	block788
7	71874885	73334602	block789
7	73334602	76458564	block790
7	76458564	78093859	block791
7	78093859	79888069	block792
7	79888069	82022686	block793
7	82022686	83801203	block794
7	83801203	85572182	block795
7	85572182	87825004	block796
7	87825004	90661784	block797
7	90661784	92493752	block798
7	92493752	93966601	block799
7	93966601	96073508	block800
7	96073508	97099570	block801
7	97099570	98715474	block802
7	98715474	100196651	block803
7	100196651	101199253	block804
7	101199253	103197510	block805
7	103197510	104159525	block806
7	104159525	105682905	block807
7	105682905	107780178	block808
7	107780178	109647594	block809
7	109647594	112618684	block810
7	112618684	113712387	block811
7	113712387	116780178	block812
7	116780178	118351581	block813
7	118351581	121045273	block814
7	121045273	121933630	block815
7	121933630	124156805	block816
7	124156805	124167552	block817
7	124167552	126519170	block818
7	126519170	126869221	block819
7	126869221	128778386	block820
7	128778386	130422414	block821
7	130422414	132805848	block822
7	132805848	134307596	block823
7	134307596	135591083	block824
7	135591083	136876562	block825
7	136876562	138744679	block826
7	138744679	139933177	block827
7	139933177	140235210	block828
7	140235210	141226557	block829
7	141226557	142656310	block830
7	142656310	144968289	block831
7	144968289	146427960	block832
7	146427960	147815318	block833
7	147815318	149840658	block834
7	149840658	150711505	block835
7	150711505	152249806	block836
7	152249806	153674019	block837
7	153674019	154964730	block838
7	154964730	156065250	block839
7	156065250	157634597	block840
7	157634597	159128575	block841
8	10422	1044217	block842
8	1044217	1163245	block843
8	1163245	2042942	block844
8	2042942	2573279	block845
8	2573279	3392926	block846
8	3392926	3783017	block847
8	3783017	4480476	block848
8	4480476	5146927	block849
8	5146927	6142797	block850
8	6142797	7153079	block851
8	7153079	9154694	block852
8	9154694	9640787	block853
8	9640787	10463197	block854
8	10463197	11278998	block855
8	11278998	13491775	block856
8	13491775	13944992	block857
8	13944992	15991660	block858
8	15991660	17387876	block859
8	17387876	17836399	block860
8	17836399	19492840	block861
8	19492840	20060856	block862
8	20060856	21661737	block863
8	21661737	22897057	block864
8	22897057	24674718	block865
8	24674718	25483454	block866
8	25483454	26682525	block867
8	26682525	28162392	block868
8	28162392	29327896	block869
8	29327896	31133729	block870
8	31133729	31548360	block871
8	31548360	32977218	block872
8	32977218	35317232	block873
8	35317232	37379389	block874
8	37379389	38938806	block875
8	38938806	40703337	block876
8	40703337	41721454	block877
8	41721454	42773823	block878
8	42773823	46841315	block879
8	46841315	50082470	block880
8	50082470	53302930	block881
8	53302930	54418044	block882
8	54418044	55945581	block883
8	55945581	56956383	block884
8	56956383	59068651	block885
8	59068651	59728100	block886
8	59728100	62329099	block887
8	62329099	63349306	block888
8	63349306	65232872	block889
8	65232872	66489090	block890
8	66489090	69863057	block891
8	69863057	70867979	block892
8	70867979	72289454	block893
8	72289454	73817199	block894
8	73817199	75445064	block895
8	75445064	76456542	block896
8	76456542	79132861	block897
8	79132861	81956395	block898
8	81956395	82693739	block899
8	82693739	84225589	block900
8	84225589	85955619	block901
8	85955619	87411709	block902
8	87411709	89085481	block903
8	89085481	90638162	block904
8	90638162	93554386	block905
8	93554386	95005527	block906
8	95005527	96534806	block907
8	96534806	99401581	block908
8	99401581	101620958	block909
8	101620958	104123306	block910
8	104123306	104988752	block911
8	104988752	107410754	block912
8	107410754	108648177	block913
8	108648177	109248173	block914
8	109248173	110484314	block915
8	110484314	111850847	block916
8	111850847	113064320	block917
8	113064320	116096495	block918
8	116096495	119685457	block919
8	119685457	121201700	block920
8	121201700	124861459	block921
8	124861459	125683719	block922
8	125683719	126410917	block923
8	126410917	128659111	block924
8	128659111	130381139	block925
8	130381139	131639625	block926
8	131639625	133351144	block927
8	133351144	134570001	block928
8	134570001	136035605	block929
8	136035605	137524151	block930
8	137524151	139254830	block931
8	139254830	140725643	block932
8	140725643	143044914	block933
8	143044914	144236881	block934
8	144236881	146303867	block935
9	10023	1079707	block936
9	1079707	1916877	block937
9	1916877	3190064	block938
9	3190064	4495328	block939
9	4495328	4884926	block940
9	4884926	6557589	block941
9	6557589	7154923	block942
9	7154923	8456299	block943
9	8456299	9166403	block944
9	9166403	10879253	block945
9	10879253	12276489	block946
9	12276489	14836363	block947
9	14836363	16659655	block948
9	16659655	18661051	block949
9	18661051	20463534	block950
9	20463534	22206559	block951
9	22206559	24158518	block952
9	24158518	25330810	block953
9	25330810	26111757	block954
9	26111757	28224283	block955
9	28224283	28811584	block956
9	28811584	30387392	block957
9	30387392	31310383	block958
9	31310383	32019368	block959
9	32019368	33578334	block960
9	33578334	34642243	block961
9	34642243	36743283	block962
9	36743283	38641599	block963
9	38641599	65472190	block964
9	65472190	72512711	block965
9	72512711	72753755	block966
9	72753755	74253040	block967
9	74253040	76203946	block968
9	76203946	76973081	block969
9	76973081	78900183	block970
9	78900183	79471208	block971
9	79471208	81079055	block972
9	81079055	82590928	block973
9	82590928	84211233	block974
9	84211233	85440801	block975
9	85440801	86938196	block976
9	86938196	88109333	block977
9	88109333	88590417	block978
9	88590417	90136246	block979
9	90136246	92528698	block980
9	92528698	94167203	block981
9	94167203	96671698	block982
9	96671698	98922040	block983
9	98922040	101592859	block984
9	101592859	104624437	block985
9	104624437	105967976	block986
9	105967976	107581749	block987
9	107581749	109298754	block988
9	109298754	110695062	block989
9	110695062	112778024	block990
9	112778024	114831082	block991
9	114831082	115693145	block992
9	115693145	117019801	block993
9	117019801	117921960	block994
9	117921960	121321537	block995
9	121321537	122260297	block996
9	122260297	124871322	block997
9	124871322	126971887	block998
9	126971887	129059665	block999
9	129059665	130055510	block1000
9	130055510	132165470	block1001
9	132165470	133223217	block1002
9	133223217	134127888	block1003
9	134127888	135298842	block1004
9	135298842	137041122	block1005
9	137041122	137589364	block1006
9	137589364	138938978	block1007
9	138938978	139500342	block1008
9	139500342	141144796	block1009
10	60523	751339	block1010
10	751339	1523544	block1011
10	1523544	2254500	block1012
10	2254500	3352699	block1013
10	3352699	4572274	block1014
10	4572274	5983762	block1015
10	5983762	7171484	block1016
10	7171484	8774665	block1017
10	8774665	10249396	block1018
10	10249396	12586797	block1019
10	12586797	13321600	block1020
10	13321600	15026068	block1021
10	15026068	16551767	block1022
10	16551767	18537267	block1023
10	18537267	19716878	block1024
10	19716878	22772283	block1025
10	22772283	23175132	block1026
10	23175132	25578596	block1027
10	25578596	26888684	block1028
10	26888684	29323236	block1029
10	29323236	29783692	block1030
10	29783692	30458838	block1031
10	30458838	31907519	block1032
10	31907519	33707968	block1033
10	33707968	35109355	block1034
10	35109355	36572508	block1035
10	36572508	37790029	block1036
10	37790029	42372579	block1037
10	42372579	43894771	block1038
10	43894771	44730075	block1039
10	44730075	48760450	block1040
10	48760450	50840915	block1041
10	50840915	53616629	block1042
10	53616629	55103572	block1043
10	55103572	57031140	block1044
10	57031140	57662146	block1045
10	57662146	58959528	block1046
10	58959528	60289987	block1047
10	60289987	61891409	block1048
10	61891409	62659679	block1049
10	62659679	63341695	block1050
10	63341695	65794114	block1051
10	65794114	67549615	block1052
10	67549615	69900148	block1053
10	69900148	70195991	block1054
10	70195991	72220850	block1055
10	72220850	73508512	block1056
10	73508512	75422550	block1057
10	75422550	78706814	block1058
10	78706814	80876749	block1059
10	80876749	82414679	block1060
10	82414679	84383745	block1061
10	84383745	85458703	block1062
10	85458703	87937577	block1063
10	87937577	89127064	block1064
10	89127064	91013381	block1065
10	91013381	92006581	block1066
10	92006581	93335047	block1067
10	93335047	95396368	block1068
10	95396368	96221243	block1069
