disease1,disease2,locus,gene_id,chr,start,end,gene_biotype
p130708,p131036,block1608,ENSG00000104853,19,45457842,45496599,protein_coding
p130708,p131036,block1608,ENSG00000104856,19,45504688,45541452,protein_coding
p130708,p131036,block1608,ENSG00000104859,19,45542298,45574214,protein_coding
p130708,p131036,block1608,ENSG00000170684,19,45574758,45579846,protein_coding
p130708,p131036,block1608,ENSG00000267348,19,45579768,45593649,antisense
p130708,p131036,block1608,ENSG00000142252,19,45582453,45594782,protein_coding
p130708,p131036,block1608,ENSG00000007047,19,45582546,45808541,protein_coding
p130708,p131036,block1608,ENSG00000104866,19,45594654,45651335,protein_coding
p130708,p131036,block1608,ENSG00000267044,19,45639251,45640235,antisense
p130708,p131036,block1608,ENSG00000267037,19,45653008,45653863,lincRNA
p130708,p131036,block1608,ENSG00000179846,19,45653008,45663408,protein_coding
p130708,p131036,block1608,ENSG00000007255,19,45666186,45681495,protein_coding
p130708,p131036,block1608,ENSG00000189114,19,45682003,45685059,protein_coding
p130708,p131036,block1608,ENSG00000267545,19,45683080,45705702,protein_coding
p130708,p131036,block1608,ENSG00000266958,19,45690646,45720191,protein_coding
p130708,p131036,block1608,ENSG00000130201,19,45715879,45737469,protein_coding
p130708,p131036,block1608,ENSG00000267045,19,45741890,45748628,lincRNA
p130708,p131036,block1608,ENSG00000104879,19,45809672,45826235,protein_coding
p130708,p131036,block1608,ENSG00000104892,19,45836692,45854778,protein_coding
p130708,p131036,block1608,ENSG00000268341,19,45842445,45842639,protein_coding
p130708,p131036,block1608,ENSG00000104884,19,45853095,45874176,protein_coding
p130708,p131036,block1608,ENSG00000104881,19,45882892,45909607,protein_coding
p130708,p131036,block1608,ENSG00000117877,19,45909467,45914024,protein_coding
p130708,p131036,block1608,ENSG00000012061,19,45910591,45982086,protein_coding
p130708,p131036,block1608,ENSG00000125740,19,45971253,45978437,protein_coding
p130708,p131036,block1608,ENSG00000125744,19,45988547,46000319,protein_coding
p130708,p131036,block1608,ENSG00000213889,19,45992035,46005768,protein_coding
p130708,p131036,block1608,ENSG00000125753,19,46009837,46030241,protein_coding
p130842,p130846,block1608,ENSG00000159915,19,44754318,44779470,protein_coding
p130842,p130846,block1608,ENSG00000062370,19,44830708,44871377,protein_coding
p130842,p130846,block1608,ENSG00000267173,19,44833848,44905774,protein_coding
p130842,p130846,block1608,ENSG00000267508,19,44886459,44905774,protein_coding
p130842,p130846,block1608,ENSG00000167383,19,44921685,44952766,protein_coding
p130842,p130846,block1608,ENSG00000267242,19,44978645,44979403,lincRNA
p130842,p130846,block1608,ENSG00000167384,19,44979854,45004576,protein_coding
p130842,p130846,block1608,ENSG00000267614,19,45040251,45040599,lincRNA
p130842,p130846,block1608,ENSG00000216588,19,45116940,45140081,protein_coding
p130842,p130846,block1608,ENSG00000266903,19,45135500,45222031,antisense
p130842,p130846,block1608,ENSG00000073008,19,45147098,45166850,protein_coding
p130842,p130846,block1608,ENSG00000186567,19,45165545,45187631,protein_coding
p130842,p130846,block1608,ENSG00000213892,19,45202421,45213986,protein_coding
p130842,p130846,block1608,ENSG00000069399,19,45250962,45263301,protein_coding
p130842,p130846,block1608,ENSG00000142273,19,45281126,45303891,protein_coding
p130842,p130846,block1608,ENSG00000187244,19,45312328,45324673,protein_coding
p130842,p130846,block1608,ENSG00000130202,19,45349432,45392485,protein_coding
p130842,p130846,block1608,ENSG00000267282,19,45385284,45394133,antisense
p130842,p130846,block1608,ENSG00000130204,19,45393826,45406946,protein_coding
p130842,p130846,block1608,ENSG00000130203,19,45409011,45412650,protein_coding
p130842,p130846,block1608,ENSG00000130208,19,45417504,45422606,protein_coding
p130842,p130846,block1608,ENSG00000224916,19,45445495,45452822,protein_coding
p130842,p130846,block1608,ENSG00000267467,19,45445495,45452820,protein_coding
p130842,p130846,block1608,ENSG00000234906,19,45449243,45452822,protein_coding
p130842,p130846,block1608,ENSG00000267114,19,45453301,45457264,protein_coding
p130842,p130846,block1608,ENSG00000104853,19,45457842,45496599,protein_coding
p130842,p130846,block1608,ENSG00000104856,19,45504688,45541452,protein_coding
p130842,p130846,block1608,ENSG00000104859,19,45542298,45574214,protein_coding
p130842,p130846,block1608,ENSG00000170684,19,45574758,45579846,protein_coding
p130842,p130846,block1608,ENSG00000267348,19,45579768,45593649,antisense
p130842,p130846,block1608,ENSG00000142252,19,45582453,45594782,protein_coding
p130842,p130846,block1608,ENSG00000007047,19,45582546,45808541,protein_coding
p130842,p130846,block1608,ENSG00000104866,19,45594654,45651335,protein_coding
p130842,p130846,block1608,ENSG00000267044,19,45639251,45640235,antisense
p130842,p130846,block1608,ENSG00000267037,19,45653008,45653863,lincRNA
p130842,p130846,block1608,ENSG00000179846,19,45653008,45663408,protein_coding
p130842,p130846,block1608,ENSG00000007255,19,45666186,45681495,protein_coding
p130842,p130846,block1608,ENSG00000189114,19,45682003,45685059,protein_coding
p130842,p130846,block1608,ENSG00000267545,19,45683080,45705702,protein_coding
p130842,p130846,block1608,ENSG00000266958,19,45690646,45720191,protein_coding
p130842,p130846,block1608,ENSG00000130201,19,45715879,45737469,protein_coding
p130842,p130846,block1608,ENSG00000267045,19,45741890,45748628,lincRNA
p130842,p130846,block1608,ENSG00000104879,19,45809672,45826235,protein_coding
p130842,p130846,block1608,ENSG00000104892,19,45836692,45854778,protein_coding
p130842,p130846,block1608,ENSG00000268341,19,45842445,45842639,protein_coding
p130842,p130846,block1608,ENSG00000104884,19,45853095,45874176,protein_coding
p130842,p130846,block1608,ENSG00000104881,19,45882892,45909607,protein_coding
p130842,p130846,block1608,ENSG00000117877,19,45909467,45914024,protein_coding
p130842,p130846,block1608,ENSG00000012061,19,45910591,45982086,protein_coding
p130842,p130846,block1608,ENSG00000125740,19,45971253,45978437,protein_coding
p130842,p130846,block1608,ENSG00000125744,19,45988547,46000319,protein_coding
p130842,p130846,block1608,ENSG00000213889,19,45992035,46005768,protein_coding
p130842,p130846,block1608,ENSG00000125753,19,46009837,46030241,protein_coding
p130842,p131036,block1608,ENSG00000159915,19,44754318,44779470,protein_coding
p130842,p131036,block1608,ENSG00000062370,19,44830708,44871377,protein_coding
p130842,p131036,block1608,ENSG00000267173,19,44833848,44905774,protein_coding
p130842,p131036,block1608,ENSG00000267508,19,44886459,44905774,protein_coding
p130842,p131036,block1608,ENSG00000167383,19,44921685,44952766,protein_coding
p130842,p131036,block1608,ENSG00000267242,19,44978645,44979403,lincRNA
p130842,p131036,block1608,ENSG00000167384,19,44979854,45004576,protein_coding
p130842,p131036,block1608,ENSG00000267614,19,45040251,45040599,lincRNA
p130842,p131036,block1608,ENSG00000216588,19,45116940,45140081,protein_coding
p130842,p131036,block1608,ENSG00000266903,19,45135500,45222031,antisense
p130842,p131036,block1608,ENSG00000073008,19,45147098,45166850,protein_coding
p130842,p131036,block1608,ENSG00000186567,19,45165545,45187631,protein_coding
p130842,p131036,block1608,ENSG00000213892,19,45202421,45213986,protein_coding
p130842,p131036,block1608,ENSG00000069399,19,45250962,45263301,protein_coding
p130842,p131036,block1608,ENSG00000142273,19,45281126,45303891,protein_coding
p130842,p131036,block1608,ENSG00000187244,19,45312328,45324673,protein_coding
p130842,p131036,block1608,ENSG00000130202,19,45349432,45392485,protein_coding
p130842,p131036,block1608,ENSG00000267282,19,45385284,45394133,antisense
p130842,p131036,block1608,ENSG00000130204,19,45393826,45406946,protein_coding
p130842,p131036,block1608,ENSG00000130203,19,45409011,45412650,protein_coding
p130842,p131036,block1608,ENSG00000130208,19,45417504,45422606,protein_coding
p130842,p131036,block1608,ENSG00000224916,19,45445495,45452822,protein_coding
p130842,p131036,block1608,ENSG00000267467,19,45445495,45452820,protein_coding
p130842,p131036,block1608,ENSG00000234906,19,45449243,45452822,protein_coding
p130842,p131036,block1608,ENSG00000267114,19,45453301,45457264,protein_coding
p130842,p131036,block1608,ENSG00000104853,19,45457842,45496599,protein_coding
p130842,p131036,block1608,ENSG00000104856,19,45504688,45541452,protein_coding
p130842,p131036,block1608,ENSG00000104859,19,45542298,45574214,protein_coding
p130842,p131036,block1608,ENSG00000170684,19,45574758,45579846,protein_coding
p130842,p131036,block1608,ENSG00000267348,19,45579768,45593649,antisense
p130842,p131036,block1608,ENSG00000142252,19,45582453,45594782,protein_coding
p130842,p131036,block1608,ENSG00000007047,19,45582546,45808541,protein_coding
p130842,p131036,block1608,ENSG00000104866,19,45594654,45651335,protein_coding
p130842,p131036,block1608,ENSG00000267044,19,45639251,45640235,antisense
p130842,p131036,block1608,ENSG00000267037,19,45653008,45653863,lincRNA
p130842,p131036,block1608,ENSG00000179846,19,45653008,45663408,protein_coding
p130842,p131036,block1608,ENSG00000007255,19,45666186,45681495,protein_coding
p130842,p131036,block1608,ENSG00000189114,19,45682003,45685059,protein_coding
p130842,p131036,block1608,ENSG00000267545,19,45683080,45705702,protein_coding
p130842,p131036,block1608,ENSG00000266958,19,45690646,45720191,protein_coding
p130842,p131036,block1608,ENSG00000130201,19,45715879,45737469,protein_coding
p130842,p131036,block1608,ENSG00000267045,19,45741890,45748628,lincRNA
p130842,p131036,block1608,ENSG00000104879,19,45809672,45826235,protein_coding
p130842,p131036,block1608,ENSG00000104892,19,45836692,45854778,protein_coding
p130842,p131036,block1608,ENSG00000268341,19,45842445,45842639,protein_coding
p130842,p131036,block1608,ENSG00000104884,19,45853095,45874176,protein_coding
p130842,p131036,block1608,ENSG00000104881,19,45882892,45909607,protein_coding
p130842,p131036,block1608,ENSG00000117877,19,45909467,45914024,protein_coding
p130842,p131036,block1608,ENSG00000012061,19,45910591,45982086,protein_coding
p130842,p131036,block1608,ENSG00000125740,19,45971253,45978437,protein_coding
p130842,p131036,block1608,ENSG00000125744,19,45988547,46000319,protein_coding
p130842,p131036,block1608,ENSG00000213889,19,45992035,46005768,protein_coding
p130842,p131036,block1608,ENSG00000125753,19,46009837,46030241,protein_coding
p130842,p131038,block1608,ENSG00000159915,19,44754318,44779470,protein_coding
p130842,p131038,block1608,ENSG00000062370,19,44830708,44871377,protein_coding
p130842,p131038,block1608,ENSG00000267173,19,44833848,44905774,protein_coding
p130842,p131038,block1608,ENSG00000267508,19,44886459,44905774,protein_coding
p130842,p131038,block1608,ENSG00000167383,19,44921685,44952766,protein_coding
p130842,p131038,block1608,ENSG00000267242,19,44978645,44979403,lincRNA
p130842,p131038,block1608,ENSG00000167384,19,44979854,45004576,protein_coding
p130842,p131038,block1608,ENSG00000267614,19,45040251,45040599,lincRNA
p130842,p131038,block1608,ENSG00000216588,19,45116940,45140081,protein_coding
p130842,p131038,block1608,ENSG00000266903,19,45135500,45222031,antisense
p130842,p131038,block1608,ENSG00000073008,19,45147098,45166850,protein_coding
p130842,p131038,block1608,ENSG00000186567,19,45165545,45187631,protein_coding
p130842,p131038,block1608,ENSG00000213892,19,45202421,45213986,protein_coding
p130842,p131038,block1608,ENSG00000069399,19,45250962,45263301,protein_coding
p130842,p131038,block1608,ENSG00000142273,19,45281126,45303891,protein_coding
p130842,p131038,block1608,ENSG00000187244,19,45312328,45324673,protein_coding
p130842,p131038,block1608,ENSG00000130202,19,45349432,45392485,protein_coding
p130842,p131038,block1608,ENSG00000267282,19,45385284,45394133,antisense
p130842,p131038,block1608,ENSG00000130204,19,45393826,45406946,protein_coding
p130842,p131038,block1608,ENSG00000130203,19,45409011,45412650,protein_coding
p130842,p131038,block1608,ENSG00000130208,19,45417504,45422606,protein_coding
p130842,p131038,block1608,ENSG00000224916,19,45445495,45452822,protein_coding
p130842,p131038,block1608,ENSG00000267467,19,45445495,45452820,protein_coding
p130842,p131038,block1608,ENSG00000234906,19,45449243,45452822,protein_coding
p130842,p131038,block1608,ENSG00000267114,19,45453301,45457264,protein_coding
p130842,p131038,block1608,ENSG00000104853,19,45457842,45496599,protein_coding
p130842,p131038,block1608,ENSG00000104856,19,45504688,45541452,protein_coding
p130842,p131038,block1608,ENSG00000104859,19,45542298,45574214,protein_coding
p130842,p131038,block1608,ENSG00000170684,19,45574758,45579846,protein_coding
p130842,p131038,block1608,ENSG00000267348,19,45579768,45593649,antisense
p130842,p131038,block1608,ENSG00000142252,19,45582453,45594782,protein_coding
p130842,p131038,block1608,ENSG00000007047,19,45582546,45808541,protein_coding
p130842,p131038,block1608,ENSG00000104866,19,45594654,45651335,protein_coding
p130842,p131038,block1608,ENSG00000267044,19,45639251,45640235,antisense
p130842,p131038,block1608,ENSG00000267037,19,45653008,45653863,lincRNA
p130842,p131038,block1608,ENSG00000179846,19,45653008,45663408,protein_coding
p130842,p131038,block1608,ENSG00000007255,19,45666186,45681495,protein_coding
p130842,p131038,block1608,ENSG00000189114,19,45682003,45685059,protein_coding
p130842,p131038,block1608,ENSG00000267545,19,45683080,45705702,protein_coding
p130842,p131038,block1608,ENSG00000266958,19,45690646,45720191,protein_coding
p130842,p131038,block1608,ENSG00000130201,19,45715879,45737469,protein_coding
p130842,p131038,block1608,ENSG00000267045,19,45741890,45748628,lincRNA
p130842,p131038,block1608,ENSG00000104879,19,45809672,45826235,protein_coding
p130842,p131038,block1608,ENSG00000104892,19,45836692,45854778,protein_coding
p130842,p131038,block1608,ENSG00000268341,19,45842445,45842639,protein_coding
p130842,p131038,block1608,ENSG00000104884,19,45853095,45874176,protein_coding
p130842,p131038,block1608,ENSG00000104881,19,45882892,45909607,protein_coding
p130842,p131038,block1608,ENSG00000117877,19,45909467,45914024,protein_coding
p130842,p131038,block1608,ENSG00000012061,19,45910591,45982086,protein_coding
p130842,p131038,block1608,ENSG00000125740,19,45971253,45978437,protein_coding
p130842,p131038,block1608,ENSG00000125744,19,45988547,46000319,protein_coding
p130842,p131038,block1608,ENSG00000213889,19,45992035,46005768,protein_coding
p130842,p131038,block1608,ENSG00000125753,19,46009837,46030241,protein_coding
p130842,p131306,block1608,ENSG00000159915,19,44754318,44779470,protein_coding
p130842,p131306,block1608,ENSG00000062370,19,44830708,44871377,protein_coding
p130842,p131306,block1608,ENSG00000267173,19,44833848,44905774,protein_coding
p130842,p131306,block1608,ENSG00000267508,19,44886459,44905774,protein_coding
p130842,p131306,block1608,ENSG00000167383,19,44921685,44952766,protein_coding
p130842,p131306,block1608,ENSG00000267242,19,44978645,44979403,lincRNA
p130842,p131306,block1608,ENSG00000167384,19,44979854,45004576,protein_coding
p130842,p131306,block1608,ENSG00000267614,19,45040251,45040599,lincRNA
p130842,p131306,block1608,ENSG00000216588,19,45116940,45140081,protein_coding
p130842,p131306,block1608,ENSG00000266903,19,45135500,45222031,antisense
p130842,p131306,block1608,ENSG00000073008,19,45147098,45166850,protein_coding
p130842,p131306,block1608,ENSG00000186567,19,45165545,45187631,protein_coding
p130842,p131306,block1608,ENSG00000213892,19,45202421,45213986,protein_coding
p130842,p131306,block1608,ENSG00000069399,19,45250962,45263301,protein_coding
p130842,p131306,block1608,ENSG00000142273,19,45281126,45303891,protein_coding
p130842,p131306,block1608,ENSG00000187244,19,45312328,45324673,protein_coding
p130842,p131306,block1608,ENSG00000130202,19,45349432,45392485,protein_coding
p130842,p131306,block1608,ENSG00000267282,19,45385284,45394133,antisense
p130842,p131306,block1608,ENSG00000130204,19,45393826,45406946,protein_coding
p130842,p131306,block1608,ENSG00000130203,19,45409011,45412650,protein_coding
p130842,p131306,block1608,ENSG00000130208,19,45417504,45422606,protein_coding
p130842,p131306,block1608,ENSG00000224916,19,45445495,45452822,protein_coding
p130842,p131306,block1608,ENSG00000267467,19,45445495,45452820,protein_coding
p130842,p131306,block1608,ENSG00000234906,19,45449243,45452822,protein_coding
p130842,p131306,block1608,ENSG00000267114,19,45453301,45457264,protein_coding
p130842,p131306,block1608,ENSG00000104853,19,45457842,45496599,protein_coding
p130842,p131306,block1608,ENSG00000104856,19,45504688,45541452,protein_coding
p130842,p131306,block1608,ENSG00000104859,19,45542298,45574214,protein_coding
p130842,p131306,block1608,ENSG00000170684,19,45574758,45579846,protein_coding
p130842,p131306,block1608,ENSG00000267348,19,45579768,45593649,antisense
p130842,p131306,block1608,ENSG00000142252,19,45582453,45594782,protein_coding
p130842,p131306,block1608,ENSG00000007047,19,45582546,45808541,protein_coding
p130842,p131306,block1608,ENSG00000104866,19,45594654,45651335,protein_coding
p130842,p131306,block1608,ENSG00000267044,19,45639251,45640235,antisense
p130842,p131306,block1608,ENSG00000267037,19,45653008,45653863,lincRNA
p130842,p131306,block1608,ENSG00000179846,19,45653008,45663408,protein_coding
p130842,p131306,block1608,ENSG00000007255,19,45666186,45681495,protein_coding
p130842,p131306,block1608,ENSG00000189114,19,45682003,45685059,protein_coding
p130842,p131306,block1608,ENSG00000267545,19,45683080,45705702,protein_coding
p130842,p131306,block1608,ENSG00000266958,19,45690646,45720191,protein_coding
p130842,p131306,block1608,ENSG00000130201,19,45715879,45737469,protein_coding
p130842,p131306,block1608,ENSG00000267045,19,45741890,45748628,lincRNA
p130842,p131306,block1608,ENSG00000104879,19,45809672,45826235,protein_coding
p130842,p131306,block1608,ENSG00000104892,19,45836692,45854778,protein_coding
p130842,p131306,block1608,ENSG00000268341,19,45842445,45842639,protein_coding
p130842,p131306,block1608,ENSG00000104884,19,45853095,45874176,protein_coding
p130842,p131306,block1608,ENSG00000104881,19,45882892,45909607,protein_coding
p130842,p131306,block1608,ENSG00000117877,19,45909467,45914024,protein_coding
p130842,p131306,block1608,ENSG00000012061,19,45910591,45982086,protein_coding
p130842,p131306,block1608,ENSG00000125740,19,45971253,45978437,protein_coding
p130842,p131306,block1608,ENSG00000125744,19,45988547,46000319,protein_coding
p130842,p131306,block1608,ENSG00000213889,19,45992035,46005768,protein_coding
p130842,p131306,block1608,ENSG00000125753,19,46009837,46030241,protein_coding
p130842,p131820,block1608,ENSG00000159915,19,44754318,44779470,protein_coding
p130842,p131820,block1608,ENSG00000062370,19,44830708,44871377,protein_coding
p130842,p131820,block1608,ENSG00000267173,19,44833848,44905774,protein_coding
p130842,p131820,block1608,ENSG00000267508,19,44886459,44905774,protein_coding
p130842,p131820,block1608,ENSG00000167383,19,44921685,44952766,protein_coding
p130842,p131820,block1608,ENSG00000267242,19,44978645,44979403,lincRNA
p130842,p131820,block1608,ENSG00000167384,19,44979854,45004576,protein_coding
p130842,p131820,block1608,ENSG00000267614,19,45040251,45040599,lincRNA
p130842,p131820,block1608,ENSG00000216588,19,45116940,45140081,protein_coding
p130842,p131820,block1608,ENSG00000266903,19,45135500,45222031,antisense
p130842,p131820,block1608,ENSG00000073008,19,45147098,45166850,protein_coding
p130842,p131820,block1608,ENSG00000186567,19,45165545,45187631,protein_coding
p130842,p131820,block1608,ENSG00000213892,19,45202421,45213986,protein_coding
p130842,p131820,block1608,ENSG00000069399,19,45250962,45263301,protein_coding
p130842,p131820,block1608,ENSG00000142273,19,45281126,45303891,protein_coding
p130842,p131820,block1608,ENSG00000187244,19,45312328,45324673,protein_coding
p130842,p131820,block1608,ENSG00000130202,19,45349432,45392485,protein_coding
p130842,p131820,block1608,ENSG00000267282,19,45385284,45394133,antisense
p130842,p131820,block1608,ENSG00000130204,19,45393826,45406946,protein_coding
p130842,p131820,block1608,ENSG00000130203,19,45409011,45412650,protein_coding
p130842,p131820,block1608,ENSG00000130208,19,45417504,45422606,protein_coding
p130842,p131820,block1608,ENSG00000224916,19,45445495,45452822,protein_coding
p130842,p131820,block1608,ENSG00000267467,19,45445495,45452820,protein_coding
p130842,p131820,block1608,ENSG00000234906,19,45449243,45452822,protein_coding
p130842,p131820,block1608,ENSG00000267114,19,45453301,45457264,protein_coding
p130842,p131820,block1608,ENSG00000104853,19,45457842,45496599,protein_coding
p130842,p131820,block1608,ENSG00000104856,19,45504688,45541452,protein_coding
p130842,p131820,block1608,ENSG00000104859,19,45542298,45574214,protein_coding
p130842,p131820,block1608,ENSG00000170684,19,45574758,45579846,protein_coding
p130842,p131820,block1608,ENSG00000267348,19,45579768,45593649,antisense
p130842,p131820,block1608,ENSG00000142252,19,45582453,45594782,protein_coding
p130842,p131820,block1608,ENSG00000007047,19,45582546,45808541,protein_coding
p130842,p131820,block1608,ENSG00000104866,19,45594654,45651335,protein_coding
p130842,p131820,block1608,ENSG00000267044,19,45639251,45640235,antisense
p130842,p131820,block1608,ENSG00000267037,19,45653008,45653863,lincRNA
p130842,p131820,block1608,ENSG00000179846,19,45653008,45663408,protein_coding
p130842,p131820,block1608,ENSG00000007255,19,45666186,45681495,protein_coding
p130842,p131820,block1608,ENSG00000189114,19,45682003,45685059,protein_coding
p130842,p131820,block1608,ENSG00000267545,19,45683080,45705702,protein_coding
p130842,p131820,block1608,ENSG00000266958,19,45690646,45720191,protein_coding
p130842,p131820,block1608,ENSG00000130201,19,45715879,45737469,protein_coding
p130842,p131820,block1608,ENSG00000267045,19,45741890,45748628,lincRNA
p130842,p131820,block1608,ENSG00000104879,19,45809672,45826235,protein_coding
p130842,p131820,block1608,ENSG00000104892,19,45836692,45854778,protein_coding
p130842,p131820,block1608,ENSG00000268341,19,45842445,45842639,protein_coding
p130842,p131820,block1608,ENSG00000104884,19,45853095,45874176,protein_coding
p130842,p131820,block1608,ENSG00000104881,19,45882892,45909607,protein_coding
p130842,p131820,block1608,ENSG00000117877,19,45909467,45914024,protein_coding
p130842,p131820,block1608,ENSG00000012061,19,45910591,45982086,protein_coding
p130842,p131820,block1608,ENSG00000125740,19,45971253,45978437,protein_coding
p130842,p131820,block1608,ENSG00000125744,19,45988547,46000319,protein_coding
p130842,p131820,block1608,ENSG00000213889,19,45992035,46005768,protein_coding
p130842,p131820,block1608,ENSG00000125753,19,46009837,46030241,protein_coding
p130846,p131036,block1608,ENSG00000159915,19,44754318,44779470,protein_coding
p130846,p131036,block1608,ENSG00000062370,19,44830708,44871377,protein_coding
p130846,p131036,block1608,ENSG00000267173,19,44833848,44905774,protein_coding
p130846,p131036,block1608,ENSG00000267508,19,44886459,44905774,protein_coding
p130846,p131036,block1608,ENSG00000167383,19,44921685,44952766,protein_coding
p130846,p131036,block1608,ENSG00000267242,19,44978645,44979403,lincRNA
p130846,p131036,block1608,ENSG00000167384,19,44979854,45004576,protein_coding
