chr,start,end
7,96076048,96372732
7,99604369,99631342
7,102408408,102986211
7,115843871,116227422
7,120914268,121041782
7,126946813,127016083
7,150689176,150691176
7,151397133,151416746
7,156929550,157076760
8,17755881,17914970
8,19811812,19929582
8,41487038,41538318
8,117629683,117646197
8,118108932,118226701
8,120391313,120543085
8,122258074,122268821
8,124364166,124648557
8,126474770,126508389
8,141652884,141842942
8,145509507,145552200
9,21682805,22140220
9,22205987,22363742
9,78723355,78747971
9,84307948,84316496
9,97442341,98105492
9,116890579,117879470
9,119261362,119504742
9,129369576,129398014
9,133068741,133070741
9,136131908,136156000
9,139240030,139249082
X,137417967,137419967
X,152898922,152918442
